citymunDesc,provCode
ADAMS,128
BACARRA,128
BADOC,128
BANGUI,128
CITY OF BATAC,128
BURGOS,128
CARASI,128
CURRIMAO,128
DINGRAS,128
DUMALNEG,128
BANNA (ESPIRITU),128
LAOAG CITY (Capital),128
MARCOS,128
NUEVA ERA,128
PAGUDPUD,128
PAOAY,128
PASUQUIN,128
PIDDIG,128
PINILI,128
SAN NICOLAS,128
SARRAT,128
SOLSONA,128
VINTAR,128
ALILEM,129
BANAYOYO,129
BANTAY,129
BURGOS,129
CABUGAO,129
CITY OF CANDON,129
CAOAYAN,129
CERVANTES,129
GALIMUYOD,129
GREGORIO DEL PILAR (CONCEPCION),129
LIDLIDDA,129
MAGSINGAL,129
NAGBUKEL,129
NARVACAN,129
QUIRINO (ANGKAKI),129
SALCEDO (BAUGEN),129
SAN EMILIO,129
SAN ESTEBAN,129
SAN ILDEFONSO,129
SAN JUAN (LAPOG),129
SAN VICENTE,129
SANTA,129
SANTA CATALINA,129
SANTA CRUZ,129
SANTA LUCIA,129
SANTA MARIA,129
SANTIAGO,129
SANTO DOMINGO,129
SIGAY,129
SINAIT,129
SUGPON,129
SUYO,129
TAGUDIN,129
CITY OF VIGAN (Capital),129
AGOO,133
ARINGAY,133
BACNOTAN,133
BAGULIN,133
BALAOAN,133
BANGAR,133
BAUANG,133
BURGOS,133
CABA,133
LUNA,133
NAGUILIAN,133
PUGO,133
ROSARIO,133
CITY OF SAN FERNANDO (Capital),133
SAN GABRIEL,133
SAN JUAN,133
SANTO TOMAS,133
SANTOL,133
SUDIPEN,133
TUBAO,133
AGNO,155
AGUILAR,155
CITY OF ALAMINOS,155
ALCALA,155
ANDA,155
ASINGAN,155
BALUNGAO,155
BANI,155
BASISTA,155
BAUTISTA,155
BAYAMBANG,155
BINALONAN,155
BINMALEY,155
BOLINAO,155
BUGALLON,155
BURGOS,155
CALASIAO,155
DAGUPAN CITY,155
DASOL,155
INFANTA,155
LABRADOR,155
LINGAYEN (Capital),155
MABINI,155
MALASIQUI,155
MANAOAG,155
MANGALDAN,155
MANGATAREM,155
MAPANDAN,155
NATIVIDAD,155
POZORRUBIO,155
ROSALES,155
SAN CARLOS CITY,155
SAN FABIAN,155
SAN JACINTO,155
SAN MANUEL,155
SAN NICOLAS,155
SAN QUINTIN,155
SANTA BARBARA,155
SANTA MARIA,155
SANTO TOMAS,155
SISON,155
SUAL,155
TAYUG,155
UMINGAN,155
URBIZTONDO,155
CITY OF URDANETA,155
VILLASIS,155
LAOAC,155
BASCO (Capital),209
ITBAYAT,209
IVANA,209
MAHATAO,209
SABTANG,209
UYUGAN,209
ABULUG,215
ALCALA,215
ALLACAPAN,215
AMULUNG,215
APARRI,215
BAGGAO,215
BALLESTEROS,215
BUGUEY,215
CALAYAN,215
CAMALANIUGAN,215
CLAVERIA,215
ENRILE,215
GATTARAN,215
GONZAGA,215
IGUIG,215
LAL-LO,215
LASAM,215
PAMPLONA,215
PEÑABLANCA,215
PIAT,215
RIZAL,215
SANCHEZ-MIRA,215
SANTA ANA,215
SANTA PRAXEDES,215
SANTA TERESITA,215
SANTO NIÑO (FAIRE),215
SOLANA,215
TUAO,215
TUGUEGARAO CITY (Capital),215
ALICIA,231
ANGADANAN,231
AURORA,231
BENITO SOLIVEN,231
BURGOS,231
CABAGAN,231
CABATUAN,231
CITY OF CAUAYAN,231
CORDON,231
DINAPIGUE,231
DIVILACAN,231
ECHAGUE,231
GAMU,231
ILAGAN CITY (Capital),231
JONES,231
LUNA,231
MACONACON,231
DELFIN ALBANO (MAGSAYSAY),231
MALLIG,231
NAGUILIAN,231
PALANAN,231
QUEZON,231
QUIRINO,231
RAMON,231
REINA MERCEDES,231
ROXAS,231
SAN AGUSTIN,231
SAN GUILLERMO,231
SAN ISIDRO,231
SAN MANUEL,231
SAN MARIANO,231
SAN MATEO,231
SAN PABLO,231
SANTA MARIA,231
CITY OF SANTIAGO,231
SANTO TOMAS,231
TUMAUINI,231
AMBAGUIO,250
ARITAO,250
BAGABAG,250
BAMBANG,250
BAYOMBONG (Capital),250
DIADI,250
DUPAX DEL NORTE,250
DUPAX DEL SUR,250
KASIBU,250
KAYAPA,250
QUEZON,250
SANTA FE,250
SOLANO,250
VILLAVERDE,250
ALFONSO CASTANEDA,250
AGLIPAY,257
CABARROGUIS (Capital),257
DIFFUN,257
MADDELA,257
SAGUDAY,257
NAGTIPUNAN,257
ABUCAY,308
BAGAC,308
CITY OF BALANGA (Capital),308
DINALUPIHAN,308
HERMOSA,308
LIMAY,308
MARIVELES,308
MORONG,308
ORANI,308
ORION,308
PILAR,308
SAMAL,308
ANGAT,314
BALAGTAS (BIGAA),314
BALIUAG,314
BOCAUE,314
BULACAN,314
BUSTOS,314
CALUMPIT,314
GUIGUINTO,314
HAGONOY,314
CITY OF MALOLOS (Capital),314
MARILAO,314
CITY OF MEYCAUAYAN,314
NORZAGARAY,314
OBANDO,314
PANDI,314
PAOMBONG,314
PLARIDEL,314
PULILAN,314
SAN ILDEFONSO,314
CITY OF SAN JOSE DEL MONTE,314
SAN MIGUEL,314
SAN RAFAEL,314
SANTA MARIA,314
DOÑA REMEDIOS TRINIDAD,314
ALIAGA,349
BONGABON,349
CABANATUAN CITY,349
CABIAO,349
CARRANGLAN,349
CUYAPO,349
GABALDON (BITULOK & SABANI),349
CITY OF GAPAN,349
GENERAL MAMERTO NATIVIDAD,349
GENERAL TINIO (PAPAYA),349
GUIMBA,349
JAEN,349
LAUR,349
LICAB,349
LLANERA,349
LUPAO,349
SCIENCE CITY OF MUÑOZ,349
NAMPICUAN,349
PALAYAN CITY (Capital),349
PANTABANGAN,349
PEÑARANDA,349
QUEZON,349
RIZAL,349
SAN ANTONIO,349
SAN ISIDRO,349
SAN JOSE CITY,349
SAN LEONARDO,349
SANTA ROSA,349
SANTO DOMINGO,349
TALAVERA,349
TALUGTUG,349
ZARAGOZA,349
ANGELES CITY,354
APALIT,354
ARAYAT,354
BACOLOR,354
CANDABA,354
FLORIDABLANCA,354
GUAGUA,354
LUBAO,354
MABALACAT CITY,354
MACABEBE,354
MAGALANG,354
MASANTOL,354
MEXICO,354
MINALIN,354
PORAC,354
CITY OF SAN FERNANDO (Capital),354
SAN LUIS,354
SAN SIMON,354
SANTA ANA,354
SANTA RITA,354
SANTO TOMAS,354
SASMUAN (Sexmoan),354
ANAO,369
BAMBAN,369
CAMILING,369
CAPAS,369
CONCEPCION,369
GERONA,369
LA PAZ,369
MAYANTOC,369
MONCADA,369
PANIQUI,369
PURA,369
RAMOS,369
SAN CLEMENTE,369
SAN MANUEL,369
SANTA IGNACIA,369
CITY OF TARLAC (Capital),369
VICTORIA,369
SAN JOSE,369
BOTOLAN,371
CABANGAN,371
CANDELARIA,371
CASTILLEJOS,371
IBA (Capital),371
MASINLOC,371
OLONGAPO CITY,371
PALAUIG,371
SAN ANTONIO,371
SAN FELIPE,371
SAN MARCELINO,371
SAN NARCISO,371
SANTA CRUZ,371
SUBIC,371
BALER (Capital),377
CASIGURAN,377
DILASAG,377
DINALUNGAN,377
DINGALAN,377
DIPACULAO,377
MARIA AURORA,377
SAN LUIS,377
AGONCILLO,410
ALITAGTAG,410
BALAYAN,410
BALETE,410
BATANGAS CITY (Capital),410
BAUAN,410
CALACA,410
CALATAGAN,410
CUENCA,410
IBAAN,410
LAUREL,410
LEMERY,410
LIAN,410
LIPA CITY,410
LOBO,410
MABINI,410
MALVAR,410
MATAASNAKAHOY,410
NASUGBU,410
PADRE GARCIA,410
ROSARIO,410
SAN JOSE,410
SAN JUAN,410
SAN LUIS,410
SAN NICOLAS,410
SAN PASCUAL,410
SANTA TERESITA,410
SANTO TOMAS,410
TAAL,410
TALISAY,410
CITY OF TANAUAN,410
TAYSAN,410
TINGLOY,410
TUY,410
ALFONSO,421
AMADEO,421
BACOOR CITY,421
CARMONA,421
CAVITE CITY,421
CITY OF DASMARIÑAS,421
